aco_fm1,aco_fm2,aco_fm3,aco_fm4,error_reason,Frames,dbm_master_url
580.1534876309364,1809.3955462546148,2662.9172565446825,4100.1961175599245,Pass,164,sample_data/subj02_timepoint01.mp4
568.5954938883705,1806.0512574989434,2681.1524303373635,4127.343159961026,Pass,165,sample_data/subj02_timepoint01.mp4
557.0031329854805,1804.0690005569875,2696.856230590605,4090.2438196098587,Pass,166,sample_data/subj02_timepoint01.mp4
547.0903059375515,1807.0236697766582,2694.552030155457,4033.6680840276845,Pass,167,sample_data/subj02_timepoint01.mp4
540.2930457945214,1822.6307849531604,2570.2523675272287,3927.5757257717214,Pass,168,sample_data/subj02_timepoint01.mp4
536.4710225759327,1870.557938132174,2011.1235081094317,3774.236311016119,Pass,169,sample_data/subj02_timepoint01.mp4
531.0131350126925,1541.4509613460862,1963.6011487540093,3713.166506377216,Pass,170,sample_data/subj02_timepoint01.mp4
516.4968821137475,1321.8519571603772,2018.1340064448843,3702.8961009601867,Pass,171,sample_data/subj02_timepoint01.mp4
504.7359112724687,1244.120879698042,2046.5210994337763,3706.6672335623102,Pass,172,sample_data/subj02_timepoint01.mp4
511.26482731540176,1231.8198419613013,2057.6745856000043,3713.855787323784,Pass,173,sample_data/subj02_timepoint01.mp4
529.2020127575121,1253.9261826667334,2059.359343356578,3721.6994758435217,Pass,174,sample_data/subj02_timepoint01.mp4
545.4756583433756,1305.6567504644227,2054.236386472418,3729.955461474757,Pass,175,sample_data/subj02_timepoint01.mp4
553.6686597369553,1388.8323099260274,2042.164224375571,3739.631594172095,Pass,176,sample_data/subj02_timepoint01.mp4
554.0050961487048,1505.877250514439,2020.285583287842,3752.375928180997,Pass,177,sample_data/subj02_timepoint01.mp4
549.1372439936694,1659.7998648642576,1980.9384192137247,3769.776143748882,Pass,178,sample_data/subj02_timepoint01.mp4
541.596407587141,1848.1888791554113,1914.2823016345437,3792.136440088458,Pass,179,sample_data/subj02_timepoint01.mp4
533.0749160335365,1858.1056423155144,2013.4219727589202,3816.6171272703614,Pass,180,sample_data/subj02_timepoint01.mp4
524.3952000795595,1837.126362775285,2113.1747312191155,3837.0919117331014,Pass,181,sample_data/subj02_timepoint01.mp4
515.801937090006,1823.7149203430158,2170.763726568527,3848.626471882275,Pass,182,sample_data/subj02_timepoint01.mp4
507.4167841349814,1814.0215125981642,2197.7014001036105,3851.700902515197,Pass,183,sample_data/subj02_timepoint01.mp4
499.56030922011894,1805.6578931733222,2207.222494555367,3850.711740372116,Pass,184,sample_data/subj02_timepoint01.mp4
492.73683385106443,1797.999009395937,2207.967586496422,3849.9118566542816,Pass,185,sample_data/subj02_timepoint01.mp4
487.3753643661359,1791.027374246272,2203.6331794706866,3850.6532080319776,Pass,186,sample_data/subj02_timepoint01.mp4
483.60354698212063,1784.9763609400143,2194.7437758348983,3850.685228709225,Pass,187,sample_data/subj02_timepoint01.mp4
481.2221760062578,1780.2601736016798,2181.447763747607,3845.5579625207497,Pass,188,sample_data/subj02_timepoint01.mp4
479.81534521556983,1777.4476955764953,2165.2114848250603,3831.7823986736976,Pass,189,sample_data/subj02_timepoint01.mp4
478.8660433498233,1777.084483249285,2148.3193479096817,3808.6638937512625,Pass,190,sample_data/subj02_timepoint01.mp4
477.8570029228587,1779.2853739330162,2132.647057054781,3776.41487560991,Pass,191,sample_data/subj02_timepoint01.mp4
476.40272279260506,1783.4220491281803,2118.820989895041,3734.219640815442,Pass,192,sample_data/subj02_timepoint01.mp4
474.3940848283128,1788.4783225071042,2105.1856443064858,3681.1334633172332,Pass,193,sample_data/subj02_timepoint01.mp4
472.02511952196323,1793.8571219220073,2086.8016440867877,3619.5274212645704,Pass,194,sample_data/subj02_timepoint01.mp4
469.5843588218356,1799.7222971345905,2057.6897319137006,3558.9079472968197,Pass,195,sample_data/subj02_timepoint01.mp4
467.132887810149,1806.6873080873675,2019.356910010564,3514.088221395125,Pass,196,sample_data/subj02_timepoint01.mp4
464.4059489715295,1815.3689347941372,1984.1522971966492,3497.1779487945596,Pass,197,sample_data/subj02_timepoint01.mp4
461.0180104392081,1826.178502663995,1960.91267780072,3513.3085842109526,Pass,198,sample_data/subj02_timepoint01.mp4
456.5518699512537,1839.3980286065691,1945.918550199104,3560.7202405508997,Pass,199,sample_data/subj02_timepoint01.mp4
450.30784206412335,1855.4473506812176,1931.713366812066,3630.8505803853177,Pass,200,sample_data/subj02_timepoint01.mp4
441.187472484052,1875.2703662323531,1914.358661023573,3709.8429344420647,Pass,201,sample_data/subj02_timepoint01.mp4
428.26989850763044,1887.5044132410558,1905.7109125910722,3780.796111973809,Pass,202,sample_data/subj02_timepoint01.mp4
411.9891043096918,1864.3514398339628,1935.1314657852777,3828.6582049340277,Pass,203,sample_data/subj02_timepoint01.mp4
394.82786156321174,1833.083310705443,1976.2872431956364,3850.134398601615,Pass,204,sample_data/subj02_timepoint01.mp4
380.17214992901694,1809.1403659078887,2012.8175692700322,3852.3428606653783,Pass,205,sample_data/subj02_timepoint01.mp4
369.9723908932777,1795.2234098698325,2038.715867027083,3842.4092894229293,Pass,206,sample_data/subj02_timepoint01.mp4
363.81965404905804,1784.9615254668838,2055.155517731274,3823.3505648880137,Pass,207,sample_data/subj02_timepoint01.mp4
