aco_fm1,aco_fm2,aco_fm3,aco_fm4,error_reason,Frames,dbm_master_url
872.2036983948525,2159.899342359538,3498.7634551479646,4643.812523170391,Pass,33,sample_data/subj02_timepoint02.mp4
891.1121116608649,2169.3555805429573,3536.7369147912823,4649.114892718666,Pass,34,sample_data/subj02_timepoint02.mp4
894.1106472865334,2173.179598558195,3568.8619118322654,4658.966945025324,Pass,35,sample_data/subj02_timepoint02.mp4
887.4704559932513,2173.4310690730804,3598.2679085041104,4673.096464170095,Pass,36,sample_data/subj02_timepoint02.mp4
391.503381155134,1320.5090064532872,2664.384174663022,3994.440113896526,Pass,37,sample_data/subj02_timepoint02.mp4
242.45383377387748,871.4046489561946,2167.962190059579,3653.2707518084853,Pass,38,sample_data/subj02_timepoint02.mp4
359.3916665451314,873.8052388752219,2163.811240916053,3674.447385776462,Pass,39,sample_data/subj02_timepoint02.mp4
423.9735353045804,887.1781806358457,2159.601398902415,3686.8648977155317,Pass,40,sample_data/subj02_timepoint02.mp4
457.9983313794261,907.6167270624471,2155.9558052321463,3689.2379431047466,Pass,41,sample_data/subj02_timepoint02.mp4
479.5763396029509,924.8048736993527,2153.2692397855626,3683.3898237919702,Pass,42,sample_data/subj02_timepoint02.mp4
508.6496699906472,924.5176601913587,2151.1807385033235,3674.492134696937,Pass,43,sample_data/subj02_timepoint02.mp4
584.5318974582427,867.9168597048326,2147.700465593618,3671.5244779847517,Pass,44,sample_data/subj02_timepoint02.mp4
658.5676542956193,770.1156461994877,2137.3176910457223,3687.816576630995,Pass,45,sample_data/subj02_timepoint02.mp4
710.8070269576024,1621.4260352187173,2164.9058695544136,3733.201522496967,Pass,46,sample_data/subj02_timepoint02.mp4
727.2199068631519,2002.3412684406521,2403.539471567172,3794.0314438109735,Pass,47,sample_data/subj02_timepoint02.mp4
728.9948515510554,1911.5631631383235,2597.801204138049,3852.246397834376,Pass,48,sample_data/subj02_timepoint02.mp4
732.5405644600751,1872.2367080410804,2670.8934484136353,3906.680386940085,Pass,49,sample_data/subj02_timepoint02.mp4
737.2825695682092,1861.2534787317736,2705.594672575019,3961.1704737997898,Pass,50,sample_data/subj02_timepoint02.mp4
