frame, face_id, timestamp, confidence, success, AU01_r, AU02_r, AU04_r, AU05_r, AU06_r, AU07_r, AU09_r, AU10_r, AU12_r, AU14_r, AU15_r, AU17_r, AU20_r, AU25_r, AU26_r, AU45_r, AU01_c, AU02_c, AU04_c, AU05_c, AU06_c, AU07_c, AU10_c, AU12_c, AU14_c, AU15_c, AU17_c, AU20_c, AU23_c, AU25_c, AU26_c, AU28_c, AU45_c, AU09_c, AU23_r,s_confidence,fac_hapintsoft,fac_sadintsoft,fac_surintsoft,fac_feaintsoft,fac_angintsoft,fac_disintsoft,fac_conintsoft,fac_paiintsoft,fac_negintsoft,fac_posintsoft,neu_exp,fac_comlowintsoft,fac_comuppintsoft,cai_exp,fac_comintsoft,fac_happres,fac_sadpres,fac_surpres,fac_feapres,fac_angpres,fac_dispres,fac_conpres,fac_hapinthard,fac_sadinthard,fac_surinthard,fac_feainthard,fac_anginthard,fac_disinthard,fac_coninthard,fac_paiinthard,fac_neginthard,fac_posinthard,neu_exp_full,cai_exp_full,fac_comlowinthard,fac_comuppinthard,fac_cominthard,error_reason,dbm_master_url
21,0,0.667,0.98,1,0.0,0.16,0.82,0.0,0.0,0.25,0.01,0.0,0.0,0.0,0.06,0.22,0.0,0.0,0.02,0.02,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9800000000000001,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0.0,0.0,Pass,sample_data/subj02_timepoint01.mp4
22,0,0.7,0.98,1,0.0,0.19,0.92,0.0,0.0,0.49,0.01,0.0,0.0,0.01,0.06,0.15,0.0,0.0,0.02,0.02,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9800000000000001,0,0.15333333333333335,0.0,0.07666666666666667,0.07666666666666667,0,0,0.15333333333333335,0.06133333333333334,0,0.0,0,0.3066666666666667,0.15333333333333335,0.04380952380952381,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0.0,0.0,Pass,sample_data/subj02_timepoint01.mp4
23,0,0.733,0.98,1,0.0,0.15,0.9,0.0,0.0,0.59,0.05,0.0,0.0,0.01,0.02,0.11,0.0,0.0,0.02,0.02,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9800000000000001,0,0.15,0.0,0.075,0.075,0,0,0.15,0.06,0,0.0,0,0.3,0.15,0.04285714285714286,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0.0,0.0,Pass,sample_data/subj02_timepoint01.mp4
24,0,0.767,0.98,1,0.0,0.08,0.84,0.0,0.0,0.58,0.08,0.0,0.0,0.01,0.02,0.05,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9800000000000001,0,0.13999999999999999,0.0,0.06999999999999999,0.06999999999999999,0,0,0.13999999999999999,0.055999999999999994,0,0.0,0,0.27999999999999997,0.13999999999999999,0.039999999999999994,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0.0,0.0,Pass,sample_data/subj02_timepoint01.mp4
25,0,0.8,0.98,1,0.0,0.0,0.8,0.06,0.0,0.37,0.11,0.0,0.0,0.03,0.02,0.05,0.0,0.0,0.08,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.9800000000000001,0,0.13333333333333333,0.01,0.07166666666666667,0.07166666666666667,0,0,0.13333333333333333,0.05533333333333333,0,0.01,0,0.2866666666666667,0.14333333333333334,0.040952380952380955,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0.0,0.0,Pass,sample_data/subj02_timepoint01.mp4
26,0,0.833,0.98,1,0.0,0.0,0.89,0.06,0.0,0.24,0.15,0.0,0.0,0.03,0.0,0.04,0.0,0.0,0.12,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07,0.9800000000000001,0,0.0,0.01,0.01,0.01,0,0,0.0,0.004,0,0.01,0,0.03,0.01,0.004285714285714286,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0.0,0.0,Pass,sample_data/subj02_timepoint01.mp4
27,0,0.867,0.98,1,0.0,0.0,0.86,0.06,0.0,0.1,0.18,0.0,0.0,0.03,0.0,0.03,0.0,0.0,0.14,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11,0.9800000000000001,0,0.0,0.01,0.01,0.01,0,0,0.0,0.004,0,0.01,0,0.03,0.01,0.004285714285714286,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0.0,0.0,Pass,sample_data/subj02_timepoint01.mp4
28,0,0.9,0.98,1,0.0,0.0,0.83,0.0,0.0,0.01,0.27,0.05,0.0,0.0,0.0,0.05,0.0,0.0,0.06,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14,0.9800000000000001,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0.0,0.0,Pass,sample_data/subj02_timepoint01.mp4
29,0,0.9329999999999999,0.98,1,0.0,0.0,0.77,0.0,0.0,0.01,0.25,0.05,0.0,0.0,0.0,0.06,0.0,0.0,0.03,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12,0.9800000000000001,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0.0,0.0,Pass,sample_data/subj02_timepoint01.mp4
30,0,0.9670000000000001,0.98,1,0.0,0.0,0.77,0.0,0.0,0.0,0.24,0.05,0.0,0.0,0.0,0.1,0.02,0.03,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08,0.9800000000000001,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0.0,0.0,Pass,sample_data/subj02_timepoint01.mp4
