mov_hposepitch,mov_hposeyaw,mov_hposeroll,mov_hposedist,error_reason,dbm_master_url
0.132,0.065,0.019,0.0,Pass,sample_data/subj01_timepoint01.mp4
0.128,0.063,0.019,0.004472135954999583,Pass,sample_data/subj01_timepoint01.mp4
0.127,0.063,0.019,0.0010000000000000009,Pass,sample_data/subj01_timepoint01.mp4
0.124,0.063,0.021,0.0036055512754639926,Pass,sample_data/subj01_timepoint01.mp4
0.124,0.065,0.022000000000000002,0.0022360679774997916,Pass,sample_data/subj01_timepoint01.mp4
0.124,0.062,0.022000000000000002,0.0030000000000000027,Pass,sample_data/subj01_timepoint01.mp4
0.127,0.063,0.021,0.003316624790355403,Pass,sample_data/subj01_timepoint01.mp4
0.125,0.064,0.021,0.0022360679774997916,Pass,sample_data/subj01_timepoint01.mp4
0.126,0.065,0.02,0.001732050807568879,Pass,sample_data/subj01_timepoint01.mp4
0.124,0.063,0.022000000000000002,0.003464101615137758,Pass,sample_data/subj01_timepoint01.mp4
0.12300000000000001,0.062,0.022000000000000002,0.0014142135623730866,Pass,sample_data/subj01_timepoint01.mp4
0.128,0.064,0.021,0.0054772255750516535,Pass,sample_data/subj01_timepoint01.mp4
0.128,0.064,0.021,0.0,Pass,sample_data/subj01_timepoint01.mp4
0.129,0.062,0.022000000000000002,0.0024494897427831805,Pass,sample_data/subj01_timepoint01.mp4
0.125,0.061,0.023,0.004242640687119288,Pass,sample_data/subj01_timepoint01.mp4
0.127,0.062,0.022000000000000002,0.0024494897427831787,Pass,sample_data/subj01_timepoint01.mp4
0.128,0.062,0.022000000000000002,0.0010000000000000009,Pass,sample_data/subj01_timepoint01.mp4
0.126,0.061,0.022000000000000002,0.0022360679774997916,Pass,sample_data/subj01_timepoint01.mp4
0.127,0.063,0.021,0.0024494897427831805,Pass,sample_data/subj01_timepoint01.mp4
0.125,0.062,0.022000000000000002,0.0024494897427831805,Pass,sample_data/subj01_timepoint01.mp4
0.122,0.063,0.023,0.0033166247903554016,Pass,sample_data/subj01_timepoint01.mp4
0.12,0.064,0.023,0.0022360679774997916,Pass,sample_data/subj01_timepoint01.mp4
0.122,0.064,0.023,0.0020000000000000018,Pass,sample_data/subj01_timepoint01.mp4
0.12,0.065,0.024,0.0024494897427831805,Pass,sample_data/subj01_timepoint01.mp4
0.124,0.065,0.024,0.0040000000000000036,Pass,sample_data/subj01_timepoint01.mp4
0.128,0.064,0.024,0.004123105625617665,Pass,sample_data/subj01_timepoint01.mp4
0.128,0.063,0.024,0.0010000000000000009,Pass,sample_data/subj01_timepoint01.mp4
0.131,0.062,0.024,0.003162277660168382,Pass,sample_data/subj01_timepoint01.mp4
